DATE,DGS5,DGS10,DFII5,
1/4/2019,0.91,2.49,2.67,0.91
1/7/2019,0.92,2.53,2.7,0.92
1/8/2019,0.91,2.58,2.73,0.92
1/9/2019,0.91,2.57,2.74,0.89
1/10/2019,0.93,2.56,2.74,0.91
1/11/2019,0.88,2.52,2.71,0.86
1/14/2019,0.9,2.53,2.71,0.89
1/15/2019,0.91,2.53,2.72,0.9
1/16/2019,0.91,2.54,2.73,0.9
1/17/2019,0.96,2.58,2.75,0.94
1/18/2019,0.96,2.62,2.79,0.95
1/21/2019,.,.,.,.
1/22/2019,0.95,2.57,2.74,0.94
1/23/2019,0.96,2.59,2.76,0.95
1/24/2019,0.95,2.55,2.72,0.93
1/25/2019,0.97,2.59,2.76,0.95
1/28/2019,0.97,2.58,2.75,0.96
1/29/2019,0.94,2.55,2.72,0.93
1/30/2019,0.86,2.49,2.7,0.81
1/31/2019,0.78,2.43,2.63,0.73
2/1/2019,0.82,2.51,2.7,0.79
2/4/2019,0.86,2.53,2.73,0.81
2/5/2019,0.84,2.51,2.71,0.79
2/6/2019,0.84,2.5,2.7,0.79
2/7/2019,0.81,2.46,2.65,0.77
2/8/2019,0.81,2.44,2.63,0.75
2/11/2019,0.83,2.47,2.65,0.78
2/12/2019,0.85,2.49,2.68,0.78
2/13/2019,0.85,2.53,2.71,0.77
2/14/2019,0.81,2.48,2.66,0.74
2/15/2019,0.8,2.49,2.66,0.74
2/18/2019,.,.,.,.
2/19/2019,0.78,2.47,2.65,0.71
2/20/2019,0.76,2.47,2.65,0.68
2/21/2019,0.78,2.51,2.69,0.71
2/22/2019,0.74,2.47,2.65,0.65
2/25/2019,0.75,2.48,2.67,0.66
2/26/2019,0.72,2.45,2.64,0.63
2/27/2019,0.76,2.49,2.69,0.65
2/28/2019,0.78,2.52,2.73,0.68
3/1/2019,0.8,2.56,2.76,0.71
3/4/2019,0.78,2.53,2.72,0.69
3/5/2019,0.79,2.53,2.72,0.7
3/6/2019,0.78,2.49,2.69,0.68
3/7/2019,0.74,2.44,2.64,0.64
3/8/2019,0.72,2.42,2.62,0.62
3/11/2019,0.73,2.44,2.64,0.62
3/12/2019,0.71,2.41,2.61,0.6
3/13/2019,0.69,2.42,2.61,0.58
3/14/2019,0.69,2.43,2.63,0.58
3/15/2019,0.65,2.4,2.59,0.54
3/18/2019,0.64,2.42,2.6,0.54
3/19/2019,0.66,2.42,2.61,0.57
3/20/2019,0.58,2.34,2.54,0.46
3/21/2019,0.58,2.34,2.54,0.48
3/22/2019,0.54,2.24,2.44,0.44
3/25/2019,0.55,2.21,2.43,0.44
3/26/2019,0.55,2.18,2.41,0.43
3/27/2019,0.55,2.18,2.39,0.44
3/28/2019,0.56,2.2,2.39,0.48
3/29/2019,0.53,2.23,2.41,0.45
4/1/2019,0.59,2.31,2.49,0.49
4/2/2019,0.58,2.28,2.48,0.47
4/3/2019,0.61,2.32,2.52,0.51
4/4/2019,0.61,2.32,2.51,0.51
4/5/2019,0.6,2.31,2.5,0.52
4/8/2019,0.61,2.33,2.52,0.52
4/9/2019,0.6,2.31,2.51,0.51
4/10/2019,0.54,2.28,2.48,0.45
4/11/2019,0.57,2.31,2.51,0.49
4/12/2019,0.61,2.38,2.56,0.52
4/15/2019,0.61,2.37,2.55,0.52
4/16/2019,0.64,2.41,2.6,0.55
4/17/2019,0.65,2.4,2.59,0.56
4/18/2019,0.62,2.38,2.57,0.52
4/19/2019,.,.,.,.
