Name,Series ID,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,HALF1 2021,HALF2 2021
All items,CUSR0000SA0,252.441,252.969,254.147,255.326,255.371,255.423,255.925,256.118,256.532,257.387,257.989,258.203,258.687,258.824,257.989,256.192,255.942,257.282,258.604,259.511,260.149,260.462,260.927,261.56,262.231,263.161,264.793,266.832,268.551,270.981,272.265,273.012, , , , , , 
Energy,CUSR0000SA0E,206.324,208.336,215.562,222.974,219.848,213.979,214.95,212.267,212.052,217.186,219.77,219.718,219.117,213.963,202.995,183.788,179.61,187.591,191.566,193.362,195.995,197.157,198.576,203.716,210.822,218.946,229.886,229.658,229.63,232.995,236.796,241.474, , , , , , 
All items less food,CUSR0000SA0L1,251.831,252.307,253.599,254.992,254.966,255.009,255.551,255.748,256.126,257.03,257.651,257.844,258.315,258.341,257.264,254.586,254.017,255.34,256.998,257.999,258.693,258.976,259.527,260.117,260.858,261.864,263.706,265.904,267.704,270.182,271.353,272.045, , , , , , 
All items less food and shelter,CUSR0000SA0L12,225.264,225.514,226.889,228.373,227.98,227.596,228.042,228.067,228.146,229.268,229.804,229.802,230.019,229.626,227.978,224.103,222.996,224.709,226.813,228.068,228.95,229.185,229.785,230.457,231.408,232.62,234.841,237.433,239.601,242.459,243.516,244.276, , , , , , 
"All items less food, shelter, and energy",CUSR0000SA0L12E,231.227,231.166,231.515,231.96,232.05,232.638,232.995,233.503,233.635,234.055,234.233,234.24,234.69,235.047,234.855,233.361,232.727,233.468,235.303,236.488,237.103,237.194,237.672,237.645,237.631,237.764,238.632,241.704,244.247,247.061,247.697,247.846, , , , , , 
"All items less food, shelter, energy, and used cars and trucks",CUSR0000SA0L12E4,236.739,236.803,237.298,237.734,237.875,238.376,238.652,239.087,239.326,239.815,240.105,240.146,240.741,241.166,240.892,239.342,238.648,239.634,241.246,241.724,241.606,241.572,242.309,242.419,242.542,242.824,243.682,245.484,247.02,248.185,248.831,249.299, , , , , , 
All items less food and energy,CUSR0000SA0L1E,260.419,260.722,261.339,262.05,262.384,263.117,263.616,264.151,264.603,265.026,265.427,265.651,266.306,266.876,266.82,265.836,265.637,266.282,267.722,268.654,269.155,269.35,269.819,269.94,270.025,270.299,271.214,273.7,275.718,278.14,279.054,279.338, , , , , , 
Commodities,CUSR0000SAC,183.135,183.676,184.95,186.211,185.856,185.087,185.453,185.148,185.135,185.887,186.305,186.296,186.305,185.903,184.161,181.528,181.185,182.92,184.004,185.414,186.245,186.461,186.557,187.623,188.968,189.99,191.751,193.772,195.86,199.179,200.675,201.848, , , , , , 
Durables,CUSR0000SAD,104.841,104.8,104.882,104.954,104.941,105.05,105.164,104.874,104.714,104.449,104.305,104.104,103.973,104.174,104.253,104.297,104.582,104.178,105.147,106.323,107.734,107.831,107.898,108.108,107.597,107.638,108.13,111.94,115.352,119.422,120.19,119.936, , , , , , 
Education and communication,CUSR0000SAE,136.939,137.096,137.241,137.364,137.485,137.593,137.909,138.104,138.095,138.265,138.693,138.726,139.001,139.162,139.349,139.554,139.611,139.49,141.08,141.265,141.082,141.249,141.333,141.457,141.425,141.586,141.438,141.92,142.277,142.41,142.679,142.959, , , , , , 
Education,CUSR0000SAE1,262.998,263.693,264.521,264.925,265.426,265.791,266.023,266.607,266.822,267.36,267.863,268.203,268.733,269.419,270.002,270.539,270.887,271.128,271.762,271.248,270.754,271.015,271.408,272.016,272.127,272.599,272.115,272.763,273.718,274.317,274.927,274.991, , , , , , 
Communication,CUSR0000SAE2,73.018,73.008,72.953,72.979,72.98,72.999,73.257,73.311,73.251,73.29,73.596,73.547,73.689,73.691,73.74,73.817,73.795,73.626,75.01,75.302,75.236,75.338,75.331,75.316,75.26,75.309,75.275,75.593,75.724,75.719,75.841,76.096, , , , , , 
Food,CUSR0000SAF1,256.301,257.172,257.593,257.349,257.869,257.982,258.217,258.385,259.037,259.571,260.042,260.393,260.987,261.832,262.53,266.322,268.093,269.543,268.734,269.044,269.325,269.833,269.746,270.656,270.88,271.327,271.632,272.658,273.866,275.993,277.985,279.084, , , , , , 
Housing,CUSR0000SAH,262.43,263.049,263.902,264.649,265.118,265.859,266.47,266.828,267.564,268.007,268.578,268.913,269.597,270.248,270.269,270.371,270.849,271.305,271.863,272.473,272.893,273.207,273.898,274.328,274.422,275.087,276.031,277.449,278.666,279.79,280.943,281.957, , , , , , 
Shelter,CUSR0000SAH1,312.939,313.923,315.038,316.241,317.031,318.028,318.789,319.37,320.421,320.843,321.66,322.29,323.322,324.294,324.5,324.515,325.156,325.605,326.264,326.696,326.969,327.36,327.805,328.21,328.483,329.028,330.019,331.339,332.315,333.945,335.381,335.921, , , , , , 
Fuels and utilities,CUSR0000SAH2,242.5,241.969,242.839,242.851,242.485,241.866,242.288,242.066,241.795,243.367,243.707,243.469,243.576,243.233,242.395,241.866,241.609,242.178,242.468,242.662,244.838,245.929,247.812,248.655,248.734,251.533,253.041,255.523,256.998,257.845,259.652,261.995, , , , , , 
Medical care,CUSR0000SAM,489.815,490.006,491.327,492.783,494.576,495.65,497.916,501.371,502.145,506.711,508.102,510.605,511.681,512.73,514.565,516.484,518.877,520.802,522.898,523.77,523.289,521.37,520.401,519.664,521.652,522.978,523.668,524.002,523.594,523.058,524.431,525.724, , , , , , 
Nondurables,CUSR0000SAN,222.133,223.933,226.299,227.535,227.869,227.057,227.691,226.753,226.397,227.417,227.702,228.866,228.209,228.28,225.717,220.214,219.606,223.764,224.755,225.479,225.292,225.222,225.116,228.145,229.763,232.267,235.239,234.593,235.94,238.933,240.848,242.144, , , , , , 
Services,CUSR0000SAS,320.838,321.381,322.437,323.484,323.953,324.87,325.49,326.108,326.958,327.94,328.657,329.101,330.139,330.889,331.021,330.128,330,330.922,332.456,332.708,333.129,333.563,334.339,334.499,334.545,335.394,336.828,338.805,340.108,341.567,342.581,342.755, , , , , , 
Rent of shelter,CUSR0000SAS2RS,326.2,327.254,328.433,329.682,330.572,331.576,332.375,333.001,334.202,334.565,335.423,336.052,337.142,338.193,338.402,338.371,339.094,339.53,340.219,340.725,341.129,341.505,341.968,342.347,342.63,343.229,344.212,345.588,346.672,348.384,349.949,350.519, , , , , , 
Transportation,CUSR0000SAT,205.292,205.934,209.484,213.461,212.049,210.172,210.371,209.358,209.484,211.417,211.941,211.522,211.171,209.356,204.231,193.146,189.234,193.59,198.403,200.73,203.173,204.102,204.638,206.118,208.289,210.676,216.332,221.826,226.538,234.727,236.252,235.997, , , , , , 
New and used motor vehicles,CUSR0000SETA,99.814,99.257,99.14,99.35,99.148,99.489,99.765,99.991,99.653,99.529,99.2,99.074,98.757,98.827,98.695,98.361,98.447,98.228,99.562,101.593,103.529,104.229,104.226,103.856,102.804,102.512,103.029,107.795,112.157,118.471,119.145,118.773, , , , , , 
New vehicles,CUSR0000SETA01,146.317,146.329,147.016,147.194,147.201,147.234,147.194,147.057,146.835,146.609,146.457,146.56,146.498,146.885,146.364,146.393,146.785,146.949,147.931,147.983,148.36,148.858,148.834,149.385,148.611,148.587,148.55,149.267,151.693,154.68,157.34,159.267, , , , , , 
Motor fuel,CUSR0000SETB,214.298,219.068,232.94,248.166,242.381,231.339,232.987,227.875,227.889,236.824,241.794,242.043,241.268,231.097,209.191,169.433,161.106,177.426,185.708,189.634,192.723,194.038,194.948,205.038,220.182,234.243,255.621,252.241,250.491,256.855,263.041,270.311, , , , , , 
Gasoline (all types),CUSR0000SETB01,212.769,217.668,231.64,247.099,241.202,230.05,231.807,226.643,226.658,235.681,240.666,240.923,240.07,229.906,207.911,167.94,159.69,176.235,184.682,188.637,191.794,193.213,194.136,204.217,219.338,233.399,254.642,251.181,249.37,255.652,261.881,269.156, , , , , , 
