DATE,CIVPART,LNS11300002,LNS11300001,PAYEMS,LNS12000001,LNS12000002
2002-01-01,66.5,59.5,74,130852,72506,63196
2002-02-01,66.8,59.9,74.2,130736,72777,63661
2002-03-01,66.6,59.7,74.1,130717,72703,63474
2002-04-01,66.7,59.7,74.2,130623,72767,63359
2002-05-01,66.7,59.6,74.5,130634,73207,63333
2002-06-01,66.6,59.6,74.2,130684,72926,63489
2002-07-01,66.5,59.5,74.1,130590,72964,63449
2002-08-01,66.6,59.6,74.1,130587,72995,63710
2002-09-01,66.7,59.7,74.4,130501,73415,63887
2002-10-01,66.6,59.6,74,130628,73172,63836
2002-11-01,66.4,59.5,73.7,130615,72735,63785
2002-12-01,66.3,59.5,73.6,130472,72664,63762
2003-01-01,66.4,59.7,73.5,130580,72925,64491
2003-02-01,66.4,59.6,73.7,130444,73242,64240
2003-03-01,66.3,59.7,73.3,130232,73036,64398
2003-04-01,66.4,59.7,73.6,130177,73175,64457
2003-05-01,66.4,59.7,73.6,130196,73113,64431
2003-06-01,66.5,59.9,73.6,130194,73098,64692
2003-07-01,66.2,59.5,73.4,130191,73061,64413
2003-08-01,66.1,59.5,73.3,130149,73151,64398
2003-09-01,66.1,59.1,73.6,130254,73538,64072
2003-10-01,66.1,59.3,73.4,130454,73597,64387
2003-11-01,66.1,59.2,73.6,130474,73875,64549
2003-12-01,65.9,59,73.5,130588,74149,64262
2004-01-01,66.1,59.1,73.7,130769,74332,64139
2004-02-01,66.0,59.2,73.2,130825,74082,64460
2004-03-01,66.0,59.3,73.2,131142,73991,64461
2004-04-01,65.9,59.2,73.1,131411,74063,64617
2004-05-01,66.0,59.3,73.1,131694,74082,64770
2004-06-01,66.1,59.3,73.3,131793,74464,64710
2004-07-01,66.1,59.3,73.5,131848,74763,64793
2004-08-01,66.0,59,73.4,131937,74783,64790
2004-09-01,65.8,59,73.2,132093,74682,64805
2004-10-01,65.9,59,73.3,132447,74841,64891
2004-11-01,66.0,59,73.5,132503,75185,65046
2004-12-01,65.9,59.1,73.2,132624,74961,65163
2005-01-01,65.8,59.1,73,132774,74971,65274
2005-02-01,65.9,59.1,73.2,133032,75156,65228
2005-03-01,65.9,59,73.2,133156,75388,65266
2005-04-01,66.1,59.2,73.4,133518,75764,65489
2005-05-01,66.1,59.3,73.5,133690,76006,65603
2005-06-01,66.1,59.2,73.4,133942,76111,65604
2005-07-01,66.1,59.2,73.4,134296,76239,65788
2005-08-01,66.2,59.3,73.5,134498,76433,66001
2005-09-01,66.1,59.4,73.3,134566,76255,66146
2005-10-01,66.1,59.5,73.2,134655,76348,66199
2005-11-01,66.0,59.3,73.2,134993,76350,66149
2005-12-01,66.0,59.2,73.2,135149,76544,66208
2006-01-01,66.0,59.1,73.4,135429,76940,66210
2006-02-01,66.1,59.3,73.5,135737,77046,66411
2006-03-01,66.2,59.2,73.6,136047,77318,66423
2006-04-01,66.1,59.2,73.5,136205,77239,66522
2006-05-01,66.1,59.2,73.5,136244,77319,66771
2006-06-01,66.2,59.5,73.4,136325,77362,66991
2006-07-01,66.1,59.6,73.1,136520,77058,67144
2006-08-01,66.2,59.5,73.4,136694,77434,67191
2006-09-01,66.1,59.3,73.4,136843,77886,66929
2006-10-01,66.2,59.4,73.4,136852,77920,67394
2006-11-01,66.3,59.5,73.5,137063,78071,67463
2006-12-01,66.4,59.5,73.7,137249,78343,67627
2007-01-01,66.4,59.5,73.8,137477,78355,67673
2007-02-01,66.3,59.4,73.6,137558,78291,67766
2007-03-01,66.2,59.4,73.5,137793,78418,67902
2007-04-01,65.9,58.9,73.4,137842,78313,67273
2007-05-01,66.0,59.1,73.2,137993,78279,67624
2007-06-01,66.0,59.3,73.3,138069,78260,67803
2007-07-01,66.0,59.3,73.1,138038,78128,67777
2007-08-01,65.8,59.2,72.8,138015,77967,67715
